code,title,size,style,country,type,availability,price_gbp,import_date,url
HED93971,Macallan 18 Year Old Sherry Oak (2023 Release),70cl,Spirits,Scotland,Whisky,54.0,395.0,2024-03-28,https://hedonism.co.uk/product/macallan-18-year-old-sherry-oak-(2023-release)-whisky
HED90397,Dalmore Vintage 2007,70cl,Spirits,Scotland,Whisky,4.0,120.0,2024-03-28,https://hedonism.co.uk/product/dalmore-vintage-2007-whisky
HED8932,Kavalan Single Malt,70cl,Spirits,"Taiwan, Province of China",Whisky,3.0,71.7,2024-03-28,https://hedonism.co.uk/product/kavalan-single-malt-whisky
HED89075,Kavalan Solist Vinho Barrique 56.3%,70cl,Spirits,"Taiwan, Province of China",Whisky,3.0,215.0,2024-03-28,https://hedonism.co.uk/product/kavalan-solist-vinho-barrique-56.3%-whisky
HED86657,Yamazaki Distillers Reserve,70cl,Spirits,Japan,Whisky,17.0,76.5,2024-03-28,https://hedonism.co.uk/product/yamazaki-distillers-reserve-whisky
HED86377,Compass Box Hedonism,70cl,Spirits,Scotland,Whisky,14.0,77.0,2024-03-28,https://hedonism.co.uk/product/compass-box-hedonism-whisky
HED8537,Yamazaki 25 Year Old,70cl,Spirits,Japan,Whisky,10.0,7450.0,2024-03-28,https://hedonism.co.uk/product/yamazaki-25-year-old-whisky
HED85240,Bruichladdich The Classic Laddie Scottish Barley,70cl,Spirits,Scotland,Whisky,5.0,47.9,2024-03-28,https://hedonism.co.uk/product/bruichladdich-the-classic-laddie-scottish-barley-whisky
HED8515,Bunnahabhain 12 Year Old,70cl,Spirits,Scotland,Whisky,14.0,44.0,2024-03-28,https://hedonism.co.uk/product/bunnahabhain-12-year-old-whisky
HED8506,Monkey Shoulder,70cl,Spirits,Scotland,Whisky,5.0,29.9,2024-03-28,https://hedonism.co.uk/product/monkey-shoulder-whisky
HED83705,Glengoyne 25 Year Old,70cl,Spirits,Scotland,Whisky,25.0,495.0,2024-03-28,https://hedonism.co.uk/product/glengoyne-25-year-old-whisky
HED82604,Balvenie 12 Year Old Doublewood,70cl,Spirits,Scotland,Whisky,19.0,49.2,2024-03-28,https://hedonism.co.uk/product/balvenie-12-year-old-doublewood-whisky
HED82200,Glenfiddich 15 Year Old,70cl,Spirits,Scotland,Whisky,16.0,48.9,2024-03-28,https://hedonism.co.uk/product/glenfiddich-15-year-old-whisky
HED8197,Glendronach 33 Year Old,75cl,Spirits,Scotland,Whisky,2.0,2500.0,2024-03-28,https://hedonism.co.uk/product/glendronach-33-year-old-whisky
HED8190,Royal Salute 62 Gun Salute,100cl,Spirits,Scotland,Whisky,2.0,2620.0,2024-03-28,https://hedonism.co.uk/product/royal-salute-62-gun-salute-whisky
HED81882,Glengoyne 15 Year Old,70cl,Spirits,Scotland,Whisky,18.0,83.9,2024-03-28,https://hedonism.co.uk/product/glengoyne-15-year-old-whisky
HED8048,Linkwood 12 Year Old Flora and Fauna,70cl,Spirits,Scotland,Whisky,2.0,53.7,2024-03-28,https://hedonism.co.uk/product/linkwood-12-year-old-flora-and-fauna-whisky
HED8045,The John Walker,70cl,Spirits,Scotland,Whisky,2.0,5250.0,2024-03-28,https://hedonism.co.uk/product/the-john-walker-whisky
HED8034,Clynelish 14 Year Old,70cl,Spirits,Scotland,Whisky,6.0,54.9,2024-03-28,https://hedonism.co.uk/product/clynelish-14-year-old-whisky
HED8024,Balvenie 14 Year Old Caribbean Cask,70cl,Spirits,Scotland,Whisky,9.0,65.9,2024-03-28,https://hedonism.co.uk/product/balvenie-14-year-old-caribbean-cask-whisky
HED79889,Deanston Virgin Oak,70cl,Spirits,Scotland,Whisky,7.0,35.5,2024-03-28,https://hedonism.co.uk/product/deanston-virgin-oak-whisky
HED79806,Fettercairn 12 Year Old,70cl,Spirits,Scotland,Whisky,3.0,43.9,2024-03-28,https://hedonism.co.uk/product/fettercairn-12-year-old-whisky
HED79802,Dalmore 25 Year Old,70cl,Spirits,Scotland,Whisky,35.0,1070.0,2024-03-28,https://hedonism.co.uk/product/dalmore-25-year-old-whisky
HED79404,Talisker 10 Year Old 20cl,20cl,Spirits,Scotland,Whisky,4.0,17.7,2024-03-28,https://hedonism.co.uk/product/talisker-10-year-old-20cl-whisky
HED79400,Caol Ila 12 Year Old 20cl,20cl,Spirits,Scotland,Whisky,9.0,19.0,2024-03-28,https://hedonism.co.uk/product/caol-ila-12-year-old-20cl-whisky
HED79376,Arran Bodega Sherry Cask,70cl,Spirits,Scotland,Whisky,2.0,61.0,2024-03-28,https://hedonism.co.uk/product/arran-bodega-sherry-cask-whisky
HED78687,Glenfiddich 23 Year Old Grand Cru,70cl,Spirits,Scotland,Whisky,6.0,242.0,2024-03-28,https://hedonism.co.uk/product/glenfiddich-23-year-old-grand-cru-whisky
HED7701,Glendronach 18 Year Old Allardice,70cl,Spirits,Scotland,Whisky,21.0,178.0,2024-03-28,https://hedonism.co.uk/product/glendronach-18-year-old-allardice-whisky
HED7661,Nikka Coffey Grain,70cl,Spirits,Japan,Whisky,11.0,58.9,2024-03-28,https://hedonism.co.uk/product/nikka-coffey-grain-whisky
HED7560,Kavalan King Car Conductor,70cl,Spirits,"Taiwan, Province of China",Whisky,5.0,86.5,2024-03-28,https://hedonism.co.uk/product/kavalan-king-car-conductor-whisky
HED74608,Arran 10 Year Old,70cl,Spirits,Scotland,Whisky,10.0,39.9,2024-03-28,https://hedonism.co.uk/product/arran-10-year-old-whisky
HED72302,Johnnie Walker Green Label 15 Year Old,70cl,Spirits,Scotland,Whisky,3.0,46.9,2024-03-28,https://hedonism.co.uk/product/johnnie-walker-green-label-15-year-old-whisky
HED7047,Hibiki 21 Year Old,70cl,Spirits,Japan,Whisky,36.0,950.0,2024-03-28,https://hedonism.co.uk/product/hibiki-21-year-old-whisky
