Code,Title,Size,Style,Country,Group,Available,Price (GBP)
HED0017,Baron Rothschild Lafite Tres Vieille Reserve,70cl,Spirits,France,Cognac,2,1350.0
HED0037,Louis XIII    ,70cl,Spirits,France,Cognac,3,2950.0
HED0059,Ardbeg 17 Year Old,70cl,Spirits,Scotland,Whisky,2,595.0
HED0062,Ardbeg Lord of the Isles,70cl,Spirits,Scotland,Whisky,2,2400.0
HED0068,Balvenie 40 Year Old,70cl,Spirits,Scotland,Whisky,4,7250.0
HED0097,Glenfiddich 40 Year Old Cumulative Time,70cl,Spirits,Scotland,Whisky,1,3700.0
HED0108,Glenmorangie Signet,70cl,Spirits,Scotland,Whisky,13,195.0
HED0110,Highland Park Orcadian Vintage 1968,70cl,Spirits,Scotland,Whisky,1,4895.0
HED0112,Highland Park 18 Year Old    ,70cl,Spirits,Scotland,Whisky,10,125.0
HED0114,Highland Park 25 Year Old (2022 Release),70cl,Spirits,Scotland,Whisky,3,565.0
HED0123,Islay Pillaged Malt 2003,70cl,Spirits,Scotland,Whisky,2,330.0
HED0142,Le Nez du Whisky 54 Aromas  ,0cl,Other,France,Nez du Vin,2,300.0
HED0145,Macallan 1841 Replica    ,70cl,Spirits,Scotland,Whisky,2,1400.0
HED0178,Macallan 18 Year Old Gran Reserva 1979,75cl,Spirits,Scotland,Whisky,1,6250.0
HED0187,Macallan 52 Year Old Select Reserve 1946,70cl,Spirits,Scotland,Whisky,3,18500.0
HED0294,Torbreck The Laird 1800cl 2006,1800cl,Red,Australia,Australia,1,10170.0
HED0295,Torbreck The Laird 2700cl 2006,2700cl,Red,Australia,Australia,1,14475.0
HED0315,Ausone Magnum 2008,150cl,Red,France,Bordeaux,1,1450.0
HED0327,Calon Segur 2005,75cl,Red,France,Bordeaux,20,180.0
HED03301,Iolao Argiolas Extra Virgin Olive Oil,50cl,Other,Italy,Olive Oils,9,28.0
HED0338,Cheval Blanc 2000  ,75cl,Red,France,Bordeaux,16,1140.0
HED0340,Cheval Blanc 2009,75cl,Red,France,Bordeaux,1,1200.0
HED0369,Grand Puy Lacoste 2000,75cl,Red,France,Bordeaux,25,190.0
HED0372,Gruaud Larose 1982,75cl,Red,France,Bordeaux,1,500.0
HED0425,La Mission Haut Brion 1989,75cl,Red,France,Bordeaux,1,950.0
HED0431,La Mission Haut Brion 2005,75cl,Red,France,Bordeaux,18,800.0
HED0440,Lafite Rothschild 1982  ,75cl,Red,France,Bordeaux,12,3348.0
HED0442,Lafite Rothschild 1989  ,75cl,Red,France,Bordeaux,28,1100.0
HED0448,Lafite Rothschild 2000  ,75cl,Red,France,Bordeaux,7,1900.0
HED0452,Lafite Rothschild 2004,75cl,Red,France,Bordeaux,2,750.0
HED04721,Sine Qua Non Tant Pis Magnum 1995,150cl,Red,United States,USA,1,11900.0
HED0484,Lafleur 2000,75cl,Red,France,Bordeaux,1,1900.0
HED0485,Lafleur 2005,75cl,Red,France,Bordeaux,6,2100.0
HED0496,Latour 1989,75cl,Red,France,Bordeaux,3,518.0
HED0499,Latour 1996,75cl,Red,France,Bordeaux,2,850.0
HED0537,Leoville Las Cases 1982,75cl,Red,France,Bordeaux,1,650.0
HED0538,Leoville Las Cases 1986,75cl,Red,France,Bordeaux,4,628.0
HED0540,Leoville Las Cases 1995,75cl,Red,France,Bordeaux,3,239.0
HED0544,Leoville Las Cases 2005  ,75cl,Red,France,Bordeaux,1,340.0
HED05504,Roda Aubocassa Extra Virgin Olive Oil,50cl,Other,Spain,Olive Oils,3,29.9
HED0574,Margaux 1990  ,75cl,Red,France,Bordeaux,9,1520.0
HED0576,Margaux 1996  ,75cl,Red,France,Bordeaux,13,960.0
HED0579,Margaux 2000,75cl,Red,France,Bordeaux,4,1250.0
HED0581,Margaux 2005,75cl,Red,France,Bordeaux,12,1050.0
HED05998,Pingus 2011,75cl,Red,Spain,Spain,2,1150.0
HED0615,Mouton Rothschild 1986,75cl,Red,France,Bordeaux,7,1050.0
HED0622,Mouton Rothschild 2000,75cl,Red,France,Bordeaux,1,1950.0
HED0625,Mouton Rothschild 2005,75cl,Red,France,Bordeaux,15,900.0
HED0626,Mouton Rothschild 2006,75cl,Red,France,Bordeaux,5,750.0
HED0658,Palmer 2000,75cl,Red,France,Bordeaux,15,470.0
HED06720,Verite Le Desir 500cl 2009,500cl,Red,United States,USA,1,1710.0
HED06724,Verite La Muse 500cl 2009,500cl,Red,United States,USA,1,1710.0
HED06728,Verite La Joie 500cl 2009,500cl,Red,United States,USA,1,1710.0
HED0692,Petrus 1982,75cl,Red,France,Bordeaux,12,6300.0
HED0699,Petrus 1995,75cl,Red,France,Bordeaux,19,3900.0
HED0727,Pontet Canet 2000,75cl,Red,France,Bordeaux,7,180.0
HED07613,Chevalier Montrachet Domaine Leflaive 2011,75cl,White,France,Burgundy,7,1450.0
HED07758,Metaxa Twelve Star    ,70cl,Spirits,Greece,Brandy,2,32.3
HED08594,Batard Montrachet Domaine Leflaive 2011,75cl,White,France,Burgundy,1,1290.0
HED08636,Tomatin 18 Year Old,70cl,Spirits,Scotland,Whisky,1,117.0
HED08707,"Wine Grapes - Jancis Robinson, Julia Harding and Jose Vouillamoz  ",0cl,Other,England,Books,3,175.0
HED09085,Mouton Rothschild 2010,75cl,Red,France,Bordeaux,12,950.0
HED09221,Sassicaia 2004  ,75cl,Red,Italy,Italy,26,520.0
HED0928,Chevalier Montrachet Domaine Leflaive 2010,75cl,White,France,Burgundy,4,1990.0
HED0958,Gevrey Chambertin Clos St Jacques Armand Rousseau 1999,75cl,Red,France,Burgundy,6,3000.0
HED10002,Basil Hayden,75cl,Spirits,United States,Whiskey,8,41.9
HED10022,Cardhu 18 Year Old,70cl,Spirits,Scotland,Whisky,10,82.3
HED10024,Glenkinchie 12 Year Old,70cl,Spirits,Scotland,Whisky,5,41.5
HED10031,Talisker Storm    ,70cl,Spirits,Scotland,Whisky,12,44.9
HED10049,Teeling Small Batch,70cl,Spirits,Ireland,Whiskey,3,38.0
HED10070,Martell Cordon Bleu in Baccarat Decanter,70cl,Spirits,France,Cognac,1,1475.0
