Code,Title,Size,Style,Country,Group,Available,Price (inc VAT),Price (ex-VAT),Link
HED0017,Baron Rothschild Lafite Tres Vieille Reserve,70cl,Spirits,France,Cognac,2,1350.0,1080.0,http://default/product/baron-rothschild-lafite-tres-vieille-reserve-cognac
HED0037,Louis XIII,70cl,Spirits,France,Cognac,2,2950.0,2360.0,http://default/product/louis-xiii-cognac
HED0052,Beluga Noble Vodka,70cl,Spirits,Russia,Vodka,181,29.5,23.6,http://default/product/beluga-noble-vodka
HED0059,Ardbeg 17 Year Old,70cl,Spirits,Scotland,Whisky,2,520.0,416.0,http://default/product/ardbeg-17-year-old-whisky
HED0062,Ardbeg Lord of the Isles,70cl,Spirits,Scotland,Whisky,2,2400.0,1920.0,http://default/product/ardbeg-lord-isles-whisky
HED0068,Balvenie 40 Year Old,70cl,Spirits,Scotland,Whisky,4,7250.0,5800.0,http://default/product/balvenie-40-year-old-whisky
HED0097,Glenfiddich 40 Year Old Cumulative Time,70cl,Spirits,Scotland,Whisky,1,3700.0,2960.0,http://default/product/glenfiddich-40-year-old-cumulative-time-whisky
HED0108,Glenmorangie Signet,70cl,Spirits,Scotland,Whisky,8,195.0,156.0,http://default/product/glenmorangie-signet-whisky
HED0112,Highland Park 18 Year Old,70cl,Spirits,Scotland,Whisky,10,125.0,100.0,http://default/product/highland-park-18-year-old-whisky
HED0114,Highland Park 25 Year Old (2022 Release),70cl,Spirits,Scotland,Whisky,1,565.0,452.0,http://default/product/highland-park-25-year-old-2022-release-whisky
HED0123,Islay Pillaged Malt 2003,70cl,Spirits,Scotland,Whisky,2,330.0,264.0,http://default/product/islay-pillaged-malt-2003-whisky
HED0142,Le Nez du Whisky 54 Aromas,0cl,Other,France,Nez du Vin,1,300.0,240.0,http://default/product/le-nez-du-whisky-54-aromas
HED0145,Macallan 1841 Replica,70cl,Spirits,Scotland,Whisky,1,1400.0,1120.0,http://default/product/macallan-1841-replica-whisky
HED0178,Macallan 18 Year Old Gran Reserva 1979,70cl,Spirits,Scotland,Whisky,1,6250.0,5000.0,http://default/product/macallan-18-year-old-gran-reserva-1979-whisky
HED0187,Macallan 52 Year Old Select Reserve 1946,70cl,Spirits,Scotland,Whisky,2,16000.0,12800.0,http://default/product/macallan-52-year-old-select-reserve-1946-whisky
HED0191,Port Ellen 24 Year Old 2nd Release 1978,70cl,Spirits,Scotland,Whisky,2,2750.0,2200.0,http://default/product/port-ellen-24-year-old-2nd-release-1978-whisky
HED0294,Torbreck The Laird 1800cl 2006,1800cl,Red,Australia,Australia,1,10170.0,8136.0,http://default/product/torbreck-laird-1800cl-2006
HED0295,Torbreck The Laird 2700cl 2006,2700cl,Red,Australia,Australia,1,14475.0,11580.0,http://default/product/torbreck-laird-2700cl-2006
HED0327,Calon Segur 2005,75cl,Red,France,Bordeaux,49,180.0,144.0,http://default/product/calon-segur-2005
HED03301,Iolao Argiolas Extra Virgin Olive Oil,50cl,Other,Italy,Olive Oils,7,28.0,28.0,http://default/product/iolao-argiolas-extra-virgin-olive-oil
HED0332,Cheval Blanc 1982,75cl,Red,France,Bordeaux,6,1300.0,1040.0,http://default/product/cheval-blanc-1982
HED0338,Cheval Blanc 2000,75cl,Red,France,Bordeaux,12,1140.0,912.0,http://default/product/cheval-blanc-2000
HED0339,Cheval Blanc 2006,75cl,Red,France,Bordeaux,1,650.0,520.0,http://default/product/cheval-blanc-2006
HED0369,Grand Puy Lacoste 2000,75cl,Red,France,Bordeaux,16,190.0,152.0,http://default/product/grand-puy-lacoste-2000
HED0370,Grand Puy Lacoste 2005,75cl,Red,France,Bordeaux,6,145.0,116.0,http://default/product/grand-puy-lacoste-2005
HED0372,Gruaud Larose 1982,75cl,Red,France,Bordeaux,3,500.0,400.0,http://default/product/gruaud-larose-1982
HED0416,Hosanna 2008,75cl,Red,France,Bordeaux,12,155.0,124.0,http://default/product/hosanna-2008
HED0425,La Mission Haut Brion 1989,75cl,Red,France,Bordeaux,5,1700.0,1360.0,http://default/product/la-mission-haut-brion-1989
HED0431,La Mission Haut Brion 2005,75cl,Red,France,Bordeaux,17,800.0,640.0,http://default/product/la-mission-haut-brion-2005
HED0440,Lafite Rothschild 1982,75cl,Red,France,Bordeaux,11,3348.0,2678.4,http://default/product/lafite-rothschild-1982
HED0442,Lafite Rothschild 1989,75cl,Red,France,Bordeaux,25,1100.0,880.0,http://default/product/lafite-rothschild-1989
HED0448,Lafite Rothschild 2000,75cl,Red,France,Bordeaux,8,1900.0,1520.0,http://default/product/lafite-rothschild-2000
