code,title,size,style,country,type,availability,price_gbp
HED0112,Highland Park 18 Year Old,70cl,Spirits,Scotland,Whisky,12.0,125.0
HED0544,Leoville Las Cases 2005,75cl,Red,France,Bordeaux,3.0,340.0
HED0581,Margaux 2005,75cl,Red,France,Bordeaux,10.0,1050.0
HED0699,Petrus 1995,75cl,Red,France,Bordeaux,20.0,4980.0
HED1798,Krug Clos du Mesnil 2000,75cl,White,France,Champagne,5.0,1380.0
HED3110,Balvenie 21 Year Old Portwood,70cl,Spirits,Scotland,Whisky,3.0,243.0
HED4100,Giffard Banane du Bresil,70cl,Spirits,France,"Liqueurs, Bitters & Other",2.0,19.899999618530273
HED4101,Giffard Ginger of the Indies,70cl,Spirits,France,"Liqueurs, Bitters & Other",7.0,21.299999237060547
HED4305,Glendronach 21 Year Old Parliament,70cl,Spirits,Scotland,Whisky,58.0,225.0
HED4635,Wine & War - Donald Kladstrup and Petie Kladstrup,0cl,Other,England,Books,3.0,12.989999771118164
HED52474,Riedel Bar Nick & Nora Glass - Two Pack,0cl,Other,Austria,Glasses,5.0,32.5
HED5624,Riedel Black Tie Amadeo Decanter,0cl,Other,Austria,Decanters,2.0,550.0
HED5716,Gosset Grande Reserve,75cl,White,France,Champagne,5.0,44.900001525878906
HED5844,Lynch Bages 1982,75cl,Red,France,Bordeaux,2.0,410.0
HED60282,Nikka Yoichi Single Malt,70cl,Spirits,Japan,Whisky,7.0,77.69999694824219
HED60348,Kilchoman Sanaig,70cl,Spirits,Scotland,Whisky,2.0,53.900001525878906
HED6046,Oban 14 Year Old,70cl,Spirits,Scotland,Whisky,8.0,75.0
HED60479,Mouton Rothschild 2001,75cl,Red,France,Bordeaux,15.0,798.0
HED60576,WhistlePig 15 Year Old,70cl,Spirits,United States,Whiskey,9.0,240.0
HED6096,Martin Miller`s Gin,70cl,Spirits,England,Gin,10.0,27.700000762939453
HED6155,Veuve Clicquot Half,37.5cl,White,France,Champagne,7.0,28.11999969482422
HED6174,Ruinart Rose,75cl,Rose,France,Champagne,314.0,82.0
HED61873,Casamigos Blanco,70cl,Spirits,Mexico,Tequila,20.0,53.900001525878906
HED62055,Riedel Sommeliers Saperavi,0cl,Other,Austria,Glasses,36.0,90.0
HED62138,Brunello di Montalcino Riserva Biondi-Santi 1999,75cl,Red,Italy,Italy,10.0,492.0
HED62332,Ducru Beaucaillou 1986,75cl,Red,France,Bordeaux,4.0,299.0
HED62435,Keigetsu John Junmai Daiginjo Sparkling,75cl,Spirits,Japan,Sake,8.0,55.0
HED62779,Batard Montrachet Vougeraie 2015,75cl,White,France,Burgundy,4.0,400.0
HED64149,Ine Mankai,72cl,Spirits,Japan,Sake,11.0,54.599998474121094
HED66104,Clos de la Roche Domaine Dujac 2012,75cl,Red,France,Burgundy,4.0,936.0
HED66212,Pierre de Segonzac XO Selection des Anges,70cl,Spirits,France,Cognac,8.0,79.5
HED66822,Fortaleza Anejo,70cl,Spirits,Mexico,Tequila,69.0,110.0
HED69343,Caol Ila 13 Year Old Discovery Gordon & MacPhail,70cl,Spirits,Scotland,Whisky,5.0,58.0
HED70335,Sine Qua Non Female Grenache 2013,75cl,Red,United States,USA,3.0,498.3333333333333
HED73911,Champagne Stopper Chrome,0cl,Other,France,Preserving Accessories,14.0,9.0
HED75914,Laurent Perrier La Cuvee,75cl,White,France,Champagne,459.0,45.0
HED81348,Opus One 2002,75cl,Red,United States,USA,4.0,512.0
HED8197,Glendronach 33 Year Old,75cl,Spirits,Scotland,Whisky,2.0,2500.0
HED82698,Luxardo Maraschino,75cl,Spirits,Italy,"Liqueurs, Bitters & Other",7.0,34.29999923706055
HED83705,Glengoyne 25 Year Old,70cl,Spirits,Scotland,Whisky,25.0,495.0
HED84862,Tito`s Handmade Vodka,70cl,Spirits,United States,Vodka,15.0,27.5
HED85674,Sori Tildin Gaja 2011,75cl,Red,Italy,Italy,3.0,360.0
HED88966,Beychevelle 2005,75cl,Red,France,Bordeaux,7.0,160.0
HED5784,Leoville Poyferre 2009,75cl,Red,France,Bordeaux,2.0,240.0
HED85960,Latour (Ex Chateau) 2010,75cl,Red,France,Bordeaux,29.0,1380.0
HED66213,Pierre de Segonzac Extra,70cl,Spirits,France,Cognac,8.0,175.0
HED5295,Antica Formula Carpano 100cl,100cl,Spirits,Italy,Vermouth & Aromatised Wine,22.0,38.5
HED0263,Penfolds Grange 2000,75cl,Red,Australia,Australia,7.0,398.0
HED12081,High West Campfire,70cl,Spirits,United States,Whiskey,4.0,78.0
HED1369,Barbaresco Asili Giacosa 2007,75cl,Red,Italy,Italy,3.0,338.0
HED1473,Brunello di Montalcino Cerretalto Casanova di Neri 2001,75cl,Red,Italy,Italy,8.0,400.0
HED2299,Yquem 1999,75cl,White,France,Sauternes & Barsac,6.0,350.0
HED5079,Smith Haut Lafitte 2009,75cl,Red,France,Bordeaux,2.0,280.0
HED54468,Beychevelle 1982,75cl,Red,France,Bordeaux,2.0,250.0
HED5788,Barolo Dagromis Gaja 2007,75cl,Red,Italy,Italy,16.0,160.0
HED65287,Craggy Range Le Sol 2011,75cl,Red,New Zealand,New Zealand,5.0,75.0
HED66516,Calon Segur 1996,75cl,Red,France,Bordeaux,2.0,180.0
HED68318,Emmanuel Brochet Le Mont Benoit Extra Brut,75cl,White,France,Champagne,3.0,140.0
HED68599,Cloudy Bay Te Wahi Pinot Noir 2014,75cl,Red,New Zealand,New Zealand,2.0,62.099998474121094
HED70007,Bombay Sapphire,70cl,Spirits,England,Gin,8.0,24.600000381469727
HED7007,Bepi Tosolini Arcano Grappa Tocai en Susino Barrique,70cl,Spirits,Italy,Grappa,7.0,129.0
HED73597,Les Forts de Latour 2009,75cl,Red,France,Bordeaux,9.0,320.0
HED83931,Clos de la Roche Domaine Dujac 1998,75cl,Red,France,Burgundy,5.0,1330.0
HED84473,Domaine de Chevalier 2000,75cl,Red,France,Bordeaux,5.0,160.0
HED85788,Gruaud Larose 1996,75cl,Red,France,Bordeaux,3.0,140.0
HED54852,Companero Extra Anejo,70cl,Spirits,Panama,Rum,7.0,46.5
HED55569,Black Tot,70cl,Spirits,England,Rum,10.0,43.20000076293945
HED78841,El Rayo Plata,70cl,Spirits,Mexico,Tequila,5.0,37.20000076293945
HED3908,Pappy Van Winkle 23 Year Old Family Reserve,75cl,Spirits,United States,Whiskey,2.0,5500.0
HED79245,Vina Tondonia Rioja Reserva Blanco Lopez de Heredia 2006,75cl,White,Spain,Spain,2.0,140.0
HED57413,Henri Giraud Fut de Chene MV Half,37.5cl,White,France,Champagne,21.0,98.0999984741211
HED79335,Antica Formula Carpano 37.5cl,37.5cl,Spirits,Italy,Vermouth & Aromatised Wine,10.0,17.700000762939453
HED50102,L`If Half 2017,37.5cl,Red,France,Bordeaux,5.0,71.0
HED79889,Deanston Virgin Oak,70cl,Spirits,Scotland,Whisky,7.0,35.5
HED58378,Angludet 2019,75cl,Red,France,Bordeaux,18.0,32.0
HED58863,Clementin de Pape Clement 2019,75cl,Red,France,Bordeaux,36.0,44.79999923706055
HED59208,Belair Monange Half 2019,37.5cl,Red,France,Bordeaux,38.0,58.70000076293945
HED59415,Frerejean Freres Blanc de Blancs,75cl,White,France,Champagne,17.0,67.5
HED59420,Zalto Mystique Decanter,0cl,Other,Austria,Decanters,2.0,122.0
HED59557,D`Issan Half 2019,37.5cl,Red,France,Bordeaux,32.0,39.79999923706055
HED31673,L`If 2011,75cl,Red,France,Bordeaux,24.0,100.0
HED40553,Tokaj Classic Late Harvest 50cl 2011,50cl,White,Hungary,Hungary,11.0,23.100000381469727
HED32011,Angludet 1999,75cl,Red,France,Bordeaux,28.0,70.0
HED32283,Meursault Genevrieres Bouchard Half 2019,37.5cl,White,France,Burgundy,53.0,42.0
HED40696,Sacred English Dry Vermouth,50cl,Spirits,England,Vermouth & Aromatised Wine,8.0,21.899999618530273
HED40788,Casamigos Mezcal,70cl,Spirits,Mexico,Mezcal,7.0,74.9000015258789
HED33178,Thienot Cuvee Stanislas 2008,75cl,White,France,Champagne,35.0,95.0
HED33411,Calon Segur 2006,75cl,Red,France,Bordeaux,29.0,140.0
HED41043,Filey Bay Flagship,70cl,Spirits,England,Whisky,3.0,50.5
HED33643,Ausone 1982,75cl,Red,France,Bordeaux,2.0,955.0
HED25718,Margaux 2020,75cl,Red,France,Bordeaux,33.0,798.0
HED25761,Frontonio El Jardin de Las Iguales Garnacha 2018,75cl,Red,Spain,Spain,3.0,186.0
HED34066,Vallein-Tercinier Hors d`Age,70cl,Spirits,France,Cognac,9.0,110.0
HED25811,Se Busca Mezcal Anejo,70cl,Spirits,Mexico,Mezcal,4.0,55.20000076293945
HED34156,Bonalgue 2020,75cl,Red,France,Bordeaux,66.0,36.0
HED25985,Le Petit Smith Haut Lafitte 2020,75cl,Red,France,Bordeaux,27.0,30.0
HED34327,Inniskillin Cabernet Franc Icewine Half 2019,37.5cl,Red,Canada,Canada,3.0,87.9000015258789
HED34589,Vacheron Sancerre Rouge Les Marnes 2015,75cl,Red,France,Loire,4.0,118.0
HED45357,Ararat 10 Year Old Akhtamar,70cl,Spirits,Armenia,Brandy,12.0,38.5
HED35609,Digby Fine English Vintage Reserve Brut 2013,75cl,White,England,England,8.0,45.0
HED35765,Egon Muller Kanta Riesling 2016,75cl,White,Australia,Australia,6.0,32.900001525878906
HED35917,Barbadillo Principe de Amontillado Half,37.5cl,White,Spain,Sherry,5.0,21.799999237060547
HED45476,Kyro Wood Smoke Rye,70cl,Spirits,Finland,Whisky,4.0,58.0
HED36477,3B Blanc de Blancs Filipa Pato,75cl,White,Portugal,Portugal,41.0,19.5
HED36616,Frog`s Leap Shale and Stone Chardonnay 2019,75cl,White,United States,USA,3.0,36.70000076293945
HED37018,Saint Romain Sous Le Chateau Benjamin Leroux 2020,75cl,White,France,Burgundy,3.0,44.900001525878906
HED37701,Puligny Montrachet Les Charmes Alain Chavy Half 2020,37.5cl,White,France,Burgundy,9.0,41.79999923706055
HED37804,L`Aventure Les Freres Mignon,75cl,White,France,Champagne,6.0,63.900001525878906
HED45872,Balvenie 12 Year Old Sweet Toast of American Oak,70cl,Spirits,Scotland,Whisky,6.0,47.92000122070313
HED38778,Cantenac Brown 2012,75cl,Red,France,Bordeaux,22.0,62.5
