import_date,code,title,url,price_gbp,availability,units_sold
2024-04-28,HED7047,Hibiki 21 Year Old,https://hedonism.co.uk/product/hibiki-21-year-old-whisky,950.0,31.0,1.0
2024-04-28,HED3162,Yamazaki 18 Year Old,https://hedonism.co.uk/product/yamazaki-18-year-old-whisky,850.0,16.0,5.0
2024-04-28,HED41009,Laphroaig 25 Year Old Cask Strength,https://hedonism.co.uk/product/laphroaig-25-year-old-cask-strength-whisky,460.0,17.0,3.0
2024-04-28,HED46709,Macallan Rare Cask 2023 Release,https://hedonism.co.uk/product/macallan-rare-cask-2023-release-whisky,310.0,10.0,1.0
2024-04-28,HED0084,Caol Ila 25 Year Old,https://hedonism.co.uk/product/caol-ila-25-year-old-whisky,295.0,12.0,2.0
2024-04-28,HED51228,Mortlach 20 Year Old,https://hedonism.co.uk/product/mortlach-20-year-old-whisky,285.0,3.0,1.0
2024-04-28,HED46903,Glenfarclas 26 Year Old Oloroso Sherry Finish,https://hedonism.co.uk/product/glenfarclas-26-year-old-oloroso-sherry-finish-whisky,240.0,43.0,1.0
2024-04-28,HED14607,Glenfarclas 25 Year Old,https://hedonism.co.uk/product/glenfarclas-25-year-old-whisky,225.0,14.0,1.0
2024-04-28,HED4305,Glendronach 21 Year Old Parliament,https://hedonism.co.uk/product/glendronach-21-year-old-parliament-whisky,225.0,53.0,1.0
2024-04-28,HED46829,Bruichladdich Octomore 143,https://hedonism.co.uk/product/bruichladdich-octomore-143-whisky,205.0,1.0,4.0
2024-04-28,HED46961,Glen Keith Connoisseurs Choice Gordon  MacPhail 1993,https://hedonism.co.uk/product/glen-keith-connoisseurs-choice-gordon--macphail-1993-whisky,200.0,4.0,1.0
2024-04-28,HED3176,Dalmore King Alexander III,https://hedonism.co.uk/product/dalmore-king-alexander-iii-whisky,195.0,35.0,2.0
2024-04-28,HED00003,Linkwood 26 Year Old Cask Strength Collection Signatory 1997,https://hedonism.co.uk/product/linkwood-26-year-old-cask-strength-collection-signatory-1997-whisky,192.0,6.0,1.0
2024-04-28,HED46281,Bruichladdich Octomore 133,https://hedonism.co.uk/product/bruichladdich-octomore-133-whisky,186.0,5.0,3.0
2024-04-28,HED6050,Talisker 18 Year Old,https://hedonism.co.uk/product/talisker-18-year-old-whisky,175.0,3.0,1.0
2024-04-28,HED6043,Johnnie Walker Blue Label,https://hedonism.co.uk/product/johnnie-walker-blue-label-whisky,174.0,288.0,1.0
2024-04-28,HED45988,Glenrothes 18 Year Old,https://hedonism.co.uk/product/glenrothes-18-year-old-whisky,159.0,6.0,1.0
2024-04-28,HED3161,Yamazaki 12 Year Old,https://hedonism.co.uk/product/yamazaki-12-year-old-whisky,145.0,26.0,6.0
2024-04-28,HED46596,Compass Box Hedonism² Exclusive Hedonism Wines,https://hedonism.co.uk/product/compass-box-hedonism²-exclusive-hedonism-wines-whisky,140.0,300.0,1.0
2024-04-28,HED3115,Glenfiddich 18 Year Old,https://hedonism.co.uk/product/glenfiddich-18-year-old-whisky,102.0,18.0,1.0
2024-04-28,HED46806,Isle Raasay Scotch Whisky Distillery Year Release,https://hedonism.co.uk/product/isle-raasay-scotch-whisky-distillery-year-release-whisky,90.0,3.0,1.0
2024-04-28,HED46913,Isle Raasay Single Malt Dun Cana,https://hedonism.co.uk/product/isle-raasay-single-malt-dun-cana-whisky,85.0,3.0,1.0
2024-04-28,HED60281,Nikka Miyagikyo Single Malt,https://hedonism.co.uk/product/nikka-miyagikyo-single-malt-whisky,79.9,9.0,3.0
2024-04-28,HED68806,Dalmore Port Wood,https://hedonism.co.uk/product/dalmore-port-wood-whisky,78.0,16.0,1.0
2024-04-28,HED61388,Macallan 12 Year Old Double Cask,https://hedonism.co.uk/product/macallan-12-year-old-double-cask-whisky,77.0,36.0,1.0
2024-04-28,HED4706,Glenfarclas 15 Year Old,https://hedonism.co.uk/product/glenfarclas-15-year-old-whisky,73.0,29.0,1.0
2024-04-28,HED22246,Dalwhinnie Distillers Edition 2021 Release 2006,https://hedonism.co.uk/product/dalwhinnie-distillers-edition-2021-release-2006-whisky,69.9,5.0,1.0
2024-04-28,HED46881,Caol Ila Distillers Edition 2022 Release,https://hedonism.co.uk/product/caol-ila-distillers-edition-2022-release-whisky,69.9,2.0,1.0
2024-04-28,HED3087,Ardbeg Uigeadail,https://hedonism.co.uk/product/ardbeg-uigeadail-whisky,68.0,12.0,1.0
2024-04-28,HED47135,Isle Raasay Single Malt Cask Strength Release 2024,https://hedonism.co.uk/product/isle-raasay-single-malt-cask-strength-release-2024-whisky,65.0,10.0,2.0
2024-04-28,HED31915,Lagavulin 8 Year Old,https://hedonism.co.uk/product/lagavulin-8-year-old-whisky,59.6,17.0,2.0
2024-04-28,HED7661,Nikka Coffey Grain,https://hedonism.co.uk/product/nikka-coffey-grain-whisky,58.9,9.0,1.0
2024-04-28,HED3172,Dalmore 12 Year Old,https://hedonism.co.uk/product/dalmore-12-year-old-whisky,56.9,8.0,2.0
2024-04-28,HED2885,Compass Box Spice Tree,https://hedonism.co.uk/product/compass-box-spice-tree-whisky,55.0,5.0,1.0
